Page,Date,Sum of PageViews
Ryan_Gosling,2015-10-25,56786
Ryan_Gosling,2015-11-01,50527
Ryan_Gosling,2015-11-08,51022
Ryan_Gosling,2015-11-15,69017
Ryan_Gosling,2015-11-22,60791
Ryan_Gosling,2015-11-29,59391
Ryan_Gosling,2015-12-06,123801
Ryan_Gosling,2015-12-13,143174
Ryan_Gosling,2015-12-20,70023
Ryan_Gosling,2015-12-27,67006
Ryan_Gosling,2016-01-03,97631
Ryan_Gosling,2016-01-10,86382
Ryan_Gosling,2016-01-17,98531
Ryan_Gosling,2016-01-24,80191
Ryan_Gosling,2016-01-31,74287
Ryan_Gosling,2016-02-07,65407
Ryan_Gosling,2016-02-14,74960
Ryan_Gosling,2016-02-21,69509
Ryan_Gosling,2016-02-28,60069
Ryan_Gosling,2016-03-06,112181
Ryan_Gosling,2016-03-13,60779
Ryan_Gosling,2016-03-20,55855
Ryan_Gosling,2016-03-27,62843
Ryan_Gosling,2016-04-03,58724
Ryan_Gosling,2016-04-10,57507
Ryan_Gosling,2016-04-17,119451
Ryan_Gosling,2016-04-24,66509
Ryan_Gosling,2016-05-01,54057
Sam_Anderson_(Tamil_actor),2015-07-05,185
Sam_Anderson_(Tamil_actor),2015-07-12,499
Sam_Anderson_(Tamil_actor),2015-07-19,855
Sam_Anderson_(Tamil_actor),2015-07-26,749
Sam_Anderson_(Tamil_actor),2015-08-02,629
Sam_Anderson_(Tamil_actor),2015-08-09,629
Sam_Anderson_(Tamil_actor),2015-08-16,1154
Sam_Anderson_(Tamil_actor),2015-08-23,766
Sam_Anderson_(Tamil_actor),2015-08-30,717
Sam_Anderson_(Tamil_actor),2015-09-06,562
Sam_Anderson_(Tamil_actor),2015-09-13,601
Sam_Anderson_(Tamil_actor),2015-09-20,678
Sam_Anderson_(Tamil_actor),2015-09-27,625
Sam_Anderson_(Tamil_actor),2015-10-04,642
Sam_Anderson_(Tamil_actor),2015-10-11,771
Sam_Anderson_(Tamil_actor),2015-10-18,697
Sam_Anderson_(Tamil_actor),2015-10-25,890
Sam_Anderson_(Tamil_actor),2015-11-01,771
Sam_Anderson_(Tamil_actor),2015-11-08,591
Sam_Anderson_(Tamil_actor),2015-11-15,975
Sam_Anderson_(Tamil_actor),2015-11-22,875
Sam_Anderson_(Tamil_actor),2015-11-29,1017
Sam_Anderson_(Tamil_actor),2015-12-06,841
Sam_Anderson_(Tamil_actor),2015-12-13,863
Sam_Anderson_(Tamil_actor),2015-12-20,964
Sam_Anderson_(Tamil_actor),2015-12-27,861
Sam_Anderson_(Tamil_actor),2016-01-03,862
Sam_Anderson_(Tamil_actor),2016-01-10,785
Sam_Anderson_(Tamil_actor),2016-01-17,994
Sam_Anderson_(Tamil_actor),2016-01-24,788
Sam_Anderson_(Tamil_actor),2016-01-31,925
Sam_Anderson_(Tamil_actor),2016-02-07,718
Sam_Anderson_(Tamil_actor),2016-02-14,688
Sam_Anderson_(Tamil_actor),2016-02-21,632
Sam_Anderson_(Tamil_actor),2016-02-28,706
Sam_Anderson_(Tamil_actor),2016-03-06,551
Sam_Anderson_(Tamil_actor),2016-03-13,740
Sam_Anderson_(Tamil_actor),2016-03-20,600
Sam_Anderson_(Tamil_actor),2016-03-27,608
Sam_Anderson_(Tamil_actor),2016-04-03,573
Sam_Anderson_(Tamil_actor),2016-04-10,618
Sam_Anderson_(Tamil_actor),2016-04-17,721
Sam_Anderson_(Tamil_actor),2016-04-24,638
Sam_Anderson_(Tamil_actor),2016-05-01,618
Shah_Rukh_Khan,2015-07-05,18381
Shah_Rukh_Khan,2015-07-12,61365
Shah_Rukh_Khan,2015-07-19,104449
Shah_Rukh_Khan,2015-07-26,98783
Shah_Rukh_Khan,2015-08-02,96216
Shah_Rukh_Khan,2015-08-09,91121
Shah_Rukh_Khan,2015-08-16,89992
Shah_Rukh_Khan,2015-08-23,87988
Shah_Rukh_Khan,2015-08-30,80497
Shah_Rukh_Khan,2015-09-06,81404
Shah_Rukh_Khan,2015-09-13,81174
Shah_Rukh_Khan,2015-09-20,84959
Shah_Rukh_Khan,2015-09-27,86316
Shah_Rukh_Khan,2015-10-04,84519
Shah_Rukh_Khan,2015-10-11,85026
Shah_Rukh_Khan,2015-10-18,95570
Shah_Rukh_Khan,2015-10-25,112076
Shah_Rukh_Khan,2015-11-01,111366
Shah_Rukh_Khan,2015-11-08,283257
Shah_Rukh_Khan,2015-11-15,120307
Shah_Rukh_Khan,2015-11-22,103004
Shah_Rukh_Khan,2015-11-29,106408
Shah_Rukh_Khan,2015-12-06,110995
Shah_Rukh_Khan,2015-12-13,126643
Shah_Rukh_Khan,2015-12-20,194140
Shah_Rukh_Khan,2015-12-27,190221
Shah_Rukh_Khan,2016-01-03,168809
